id;name;address;email;phone;website;active;activated_by;deactivated_by;deleted;deleted_by
1;déboucher;partenaire;"K9jEx@q.Q!";+33 748925490;à l'insu de blême gai;true;à bas de;contenir;false;turquoise comme vorace
2;spécialiste sombre entre-temps;maintenant ha ha coac coac;"qc@;Z.O";+33 317484596;boum équipe de recherche;true;aussitôt que de façon à ce que;enfin considérable quasi;true;certainement
3;ouin tchou tchouu;spécialiste quelque consacrer;"e:fTV@$5Sv.}]lX`[";+33 171685003;réveiller snif dans;false;assez;hé lentement quand;true;du fait que poursuivre
4;doter parce que camarade;membre du personnel au-devant du moment que;"e'k@,3dt4.)";+33 707999865;à défaut de;false;autrement dès que;parce que foule;true;entre-temps dring fourbe
5;à l'exception de atchoum;chef de cuisine boum;"}B)@3Yp{EF.WiJ";+33 247101742;quasi avex;false;sous déposer;marron bè;true;à bas de circulaire
6;avare cuicui voir;près lentement désagréable;":t/#@e.;?0F";0154377529;baisser depuis;true;selon pour que pff;vu que désagréable hirsute;false;coin-coin hi
7;tsoin-tsoin rompre;fourbe diététiste totalement;"yA<~@Y.J=";0192886480;large chut;false;sombre calme plic;vaste;true;bang rendre tellement
8;feindre grrr;vraiment;"CU!0.\@{e.f5%%9";0665517160;malade malgré déchiffrer;false;certes aujourd'hui;toc;true;juriste gens au-dessous de
9;à l'exception de;insolite;"V@{z;Rr.R+]";+33 493757483;carrément équipe;false;mature;du moment que nier;true;simple tranquille blablabla
10;ouah en vérité malgré;entre;"w@#.f";0244606682;parmi;true;ouin émérite complètement;pourvu que fourrer;false;à bas de à travers
