id;name;code;official_url;created_by;updated_by
1;crac pendant que;dorénavant vu que près de;contre;entre au dépens de évaluer;lectorat afin que prou
2;rattacher trop;avex après;partenaire taper;de façon que suffisamment;sombre
3;turquoise;affirmer;déjà;amorcer continuer;chut aussi tchou tchouu
4;fourbe broum;jusqu’à ce que tchou tchouu;gestionnaire;oh ci;tant
5;lorsque;adversaire;terne au prix de considérer;après déjà;horrible
6;calme;mordre police déjà;bzzz en bas de à peu près;secouriste à seule fin de d'après;que
7;durant concurrence vouh;dring;acheter;tant jeune enfant enfin;de par
8;un peu;contenir;tchou tchouu tant correspondre;diététiste;via
9;bof vis-à-vie de remercier;blablabla novice puisque;étant donné que en face de zzzz;tendre sincère;extra
10;substituer;à condition que;bè;soulager en vérité;électorat grâce à
