id;date_added;added_by;date_updated;updated_by;last_availability_status;last_availability_change;watchlist_id;product_id
1;2025-11-15T20:28:46;rose;2025-11-15T19:36:17;jeune condamner au cas où;false;2025-11-16T05:18:37;1;1
2;2025-11-16T11:39:21;de par consentir;2025-11-16T02:22:38;remuer étant donné que;false;2025-11-16T06:12:34;2;2
3;2025-11-15T19:25:33;jadis proche de;2025-11-16T00:35:22;novice rédaction dans la mesure où;true;2025-11-16T15:40:16;3;3
4;2025-11-16T16:25:20;aussi;2025-11-16T09:40:38;touriste condamner;false;2025-11-15T22:00:35;4;4
5;2025-11-16T15:26:41;comme au lieu de;2025-11-16T05:09:58;ouin préserver divinement;true;2025-11-16T04:49:46;5;5
6;2025-11-16T09:14:48;refuser vu que innombrable;2025-11-16T14:21:12;intervenir;true;2025-11-15T23:26:17;6;6
7;2025-11-16T14:55:57;parce que serviable ressentir;2025-11-16T13:15:27;vite prout avancer;false;2025-11-15T21:24:20;7;7
8;2025-11-15T23:46:35;assurément à même;2025-11-15T21:17:08;responsable outre;false;2025-11-16T01:12:56;8;8
9;2025-11-16T00:32:36;impromptu;2025-11-16T14:30:19;découper chut gigantesque;false;2025-11-16T08:42:20;9;9
10;2025-11-16T13:07:55;si bien que lors conseil municipal;2025-11-16T10:54:20;d'entre;false;2025-11-15T21:53:56;10;10
